Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
GM,General Motors Company,49.7,0.13,0.26%,49.93,49.16,14406500,25/08/2021
GNRC,Generac Holdings Inc,425.87,6.97,1.66%,429.2,418.7,497000,25/08/2021
GOOG,Alphabet Cl C,2859,11.03,0.39%,2866.26,2848.79,642100,25/08/2021
GOOGL,Alphabet Cl A,2841.58,16.35,0.58%,2843.79,2827.52,792500,25/08/2021
GPC,Genuine Parts Company,124.74,1.51,1.23%,125.57,122.97,548400,25/08/2021
GPN,Global Payments Inc,165.25,-2.05,-1.23%,168,165.18,1596900,25/08/2021
GPS,Gap Inc,27.48,-1.54,-5.31%,28.87,27.43,9491200,25/08/2021
GRMN,Garmin Ltd,172.61,-0.82,-0.47%,175.2,172.33,816700,25/08/2021
GS,Goldman Sachs Group,413.12,4.56,1.12%,416.68,408.94,1845200,25/08/2021
GWW,W.W. Grainger,435.82,4.83,1.12%,436.83,430.75,181600,25/08/2021
HAL,Halliburton Company,20.17,0.12,0.60%,20.29,19.8,6311700,25/08/2021
HAS,Hasbro Inc,98.44,0.78,0.80%,98.84,97.69,405700,25/08/2021
HBAN,Huntington Bcshs,15.65,0.35,2.29%,15.78,15.31,21642299,25/08/2021
HBI,Hanesbrands Inc,19.74,0.37,1.91%,19.78,19.21,2911400,25/08/2021
HCA,Hca Holdings Inc,252.09,2.61,1.05%,255.28,249.24,1112100,25/08/2021
HD,Home Depot,323.88,-1.02,-0.31%,326.56,323.11,2587000,25/08/2021
HES,Hess Corp,69.34,1.15,1.69%,69.65,67.5,1928000,25/08/2021
HIG,Hartford Financial Services Group,67.86,0.68,1.01%,68.18,66.87,893100,25/08/2021
HII,Huntington Ingalls Industries,206.22,0.18,0.09%,207.55,204.63,173300,25/08/2021
HLT,Hilton Inc,127.32,0.46,0.36%,127.92,125.44,1392600,25/08/2021
HOLX,Hologic Inc,77.6,0.46,0.60%,77.7,76.69,1028700,25/08/2021
HON,Honeywell International Inc,230.66,0.22,0.10%,232.34,228.8,1804200,25/08/2021
HPE,Hewlett Packard Enterprise Comp,15.11,0.27,1.82%,15.23,14.81,5934200,25/08/2021
HPQ,HP Inc,29.39,0.49,1.70%,29.74,28.86,11460300,25/08/2021
HRL,Hormel Foods Corp,45.35,-0.03,-0.07%,45.49,45.14,1397400,25/08/2021
HSIC,Henry Schein Inc,75.5,-0.09,-0.12%,75.79,75.14,395600,25/08/2021
HST,Host Marriott Financial Trust,16.17,0.23,1.44%,16.26,15.66,8688800,25/08/2021
HSY,Hershey Foods Corp,175.6,-0.54,-0.31%,176.23,175.05,549800,25/08/2021
HUM,Humana Inc,406.6,-5.74,-1.39%,412.6,405.84,547700,25/08/2021
HWM,Howmet Aerospace Inc,32.94,0.42,1.29%,33.16,32.5,1805600,25/08/2021
IBM,International Business Machines,139.86,0.02,0.01%,140.8,139.46,2012800,25/08/2021
ICE,Intercontinental Exchange,117.3,-0.1,-0.09%,117.91,117.2,1036900,25/08/2021
IDXX,Idexx Laboratories,676.42,3.88,0.58%,678.4,665.94,357800,25/08/2021
IEX,Idex Corp,226.43,1.8,0.80%,226.55,224.12,308300,25/08/2021
IFF,International Flavors & Fragrances,151.67,0.38,0.25%,152.43,150.02,818200,25/08/2021
ILMN,Illumina Inc,487.47,7.8,1.63%,488.57,476.35,480900,25/08/2021
INCY,Incyte Corp,75.76,0.22,0.29%,75.95,75,768000,25/08/2021
INFO,IHS Markit Ltd,119,-0.01,-0.01%,119.23,118.09,958400,25/08/2021
INTC,Intel Corp,53.81,0,0.00%,54.23,53.73,15048300,25/08/2021
INTU,Intuit Inc,555.61,1.59,0.29%,582.96,551.01,2237800,25/08/2021
IP,International Paper Company,59.47,0.56,0.95%,59.82,58.56,1387000,25/08/2021
IPG,Interpublic Group of Companies,37.12,0.1,0.27%,37.44,36.83,4429600,25/08/2021
IPGP,Ipg Photonics Corp,172.15,1.77,1.04%,173.11,169.97,208300,25/08/2021
IQV,Iqvia Holdings Inc,258.71,1.85,0.72%,259.3,255.64,383300,25/08/2021
IR,Ingersoll Rand Inc,52.09,0.29,0.56%,52.4,51.66,2112900,25/08/2021
IRM,Iron Mountain Inc,45.88,0.11,0.24%,46.14,45.46,1010700,25/08/2021
ISRG,Intuitive Surg Inc,1043.96,-2.73,-0.26%,1050,1039.05,441600,25/08/2021
IT,Gartner Inc,307.19,6.22,2.07%,307.85,300.27,468400,25/08/2021
ITW,Illinois Tool Works Inc,230.6,0.04,0.02%,231.97,229.78,700700,25/08/2021
IVZ,Invesco Plc,25.34,0.35,1.40%,25.56,24.89,2840100,25/08/2021
J,Jacobs Engineering Group Inc,135.39,0.86,0.64%,135.87,134.65,311000,25/08/2021
JBHT,J B Hunt Transport,175.21,1.15,0.66%,176.04,173.84,264100,25/08/2021
JCI,Johnson Controls Intl,75.13,0.51,0.68%,75.68,74.68,2004900,25/08/2021
JKHY,Jack Henry & Assoc,173.45,0.24,0.14%,174.53,172.89,240600,25/08/2021
JNJ,Johnson & Johnson,174.23,-1.16,-0.66%,175.9,173.89,5700200,25/08/2021
JNPR,Juniper Networks,29.48,0.05,0.17%,29.77,29.45,1568400,25/08/2021
JPM,JP Morgan Chase & Company,160.92,3.25,2.06%,161.78,157.8,11335000,25/08/2021
K,Kellogg Company,63.98,-1.01,-1.55%,64.88,63.9,2620500,25/08/2021
KEY,Keycorp,20.85,0.44,2.16%,20.98,20.39,4973000,25/08/2021
KEYS,Keysight Technologies Inc Comm,174.64,-0.29,-0.17%,175.32,173.93,1146800,25/08/2021
KHC,Kraft Heinz Company,36.75,0.2,0.55%,36.77,36.26,4319000,25/08/2021
KIM,Kimco Realty Corp,22,0.37,1.71%,22.12,21.52,6303900,25/08/2021
KLAC,K L A-Tencor Corp,334.02,6.02,1.84%,335.54,325.7,839300,25/08/2021
KMB,Kimberly-Clark Corp,135.72,-0.08,-0.06%,136.19,134.8,1114300,25/08/2021
KMI,Kinder Morgan,16.47,-0.01,-0.06%,16.62,16.35,8344899,25/08/2021
KMX,Carmax Inc,127.48,1.94,1.55%,128.08,125.4,592000,25/08/2021
KO,Coca-Cola Company,56.07,0.06,0.11%,56.17,55.73,11270600,25/08/2021
KR,Kroger Company,45.8,0.05,0.11%,46.32,45.54,5368100,25/08/2021
KSU,Kansas City Southern,293.42,1.43,0.49%,294.07,291.36,554300,25/08/2021
L,Loews Corp,56.26,0.68,1.22%,56.54,55.49,645100,25/08/2021
LDOS,Leidos Holdings Inc,97.61,0.87,0.90%,97.96,96.42,604700,25/08/2021
LEG,Leggett & Platt Inc,49.22,0.67,1.38%,49.92,48.57,469000,25/08/2021
LEN,Lennar Corp,108.23,1.19,1.11%,108.88,106.39,1391100,25/08/2021
LH,Laboratory Corp of America Holdings,304.26,2.15,0.71%,304.53,300.61,254100,25/08/2021
LHX,L3Harris Technologies Inc,233.26,0.82,0.35%,233.63,231.02,1174700,25/08/2021
LIN,Linde Plc,312.85,0.37,0.12%,313.55,309.98,801400,25/08/2021
LKQ,LKQ Corp,52.37,1.01,1.97%,52.6,51.37,1245800,25/08/2021
LLY,Eli Lilly and Company,263.87,1.1,0.42%,264.52,261.29,2388500,25/08/2021
LMT,Lockheed Martin Corp,358.75,-0.25,-0.07%,360.65,357.99,953500,25/08/2021
LNC,Lincoln National Corp,70.08,1.17,1.70%,70.86,68.84,1131200,25/08/2021
LNT,Alliant Energy Corp,60.56,-0.1,-0.16%,60.83,60.22,936200,25/08/2021
LOW,Lowe's Companies,206.18,2.79,1.37%,206.83,203.07,2628800,25/08/2021
LRCX,Lam Research Corp,588.77,3.19,0.54%,594.8,586.47,901200,25/08/2021
LUMN,Centurylink,12.26,0.08,0.66%,12.43,12.13,15517899,25/08/2021
LUV,Southwest Airlines Company,51.25,0.44,0.87%,52.02,50.33,8039500,25/08/2021
LVS,Las Vegas Sands,43.24,0.52,1.22%,43.37,42.09,11615101,25/08/2021
LW,Lamb Weston Holdings Inc,66.09,-0.54,-0.81%,67.27,66.06,724700,25/08/2021
LYB,Lyondellbasell Industries NV,102.98,0.47,0.46%,103.13,100.85,1963300,25/08/2021
LYV,Live Nation Entertainment,85.89,0.15,0.17%,87.68,85.54,1679500,25/08/2021
MA,Mastercard Inc,359.1,-2.68,-0.74%,362.4,358.5,2340300,25/08/2021
MAA,Mid-America Apartment Communities,187.6,1.33,0.71%,189.15,185.67,368600,25/08/2021
MAR,Marriot Int Cl A,136.9,0.01,0.01%,137.58,135.13,1357400,25/08/2021
MAS,Masco Corp,61.92,0.72,1.18%,62.06,61.17,1547500,25/08/2021
MCD,McDonald's Corp,238.83,0.4,0.17%,239.6,237.84,1668100,25/08/2021
MCHP,Microchip Technology,151.45,3.4,2.30%,152.5,149.35,2883400,25/08/2021
MCK,Mckesson Corp,200.3,-0.11,-0.05%,201.24,197.52,673800,25/08/2021
MCO,Moody's Corp,376.4,0.05,0.01%,377.52,373.5,304500,25/08/2021
MDLZ,Mondelez Intl Inc,61.87,-0.38,-0.61%,62.26,61.72,5669300,25/08/2021
MDT,Medtronic Inc,134.55,1.98,1.49%,135.2,132.2,6484000,25/08/2021
MET,Metlife Inc,62.47,0.78,1.26%,63.08,61.67,2940400,25/08/2021
MGM,MGM Resorts International,42.13,1.22,2.98%,42.24,40.7,6090000,25/08/2021
MHK,Mohawk Industries,204.76,1.44,0.71%,207.79,203.6,334100,25/08/2021
MKC,Mccormick & Company,85.56,-0.32,-0.37%,85.89,84.92,766200,25/08/2021
MKTX,Marketaxess Holdings,472.33,-8.42,-1.75%,482.28,466.5,155700,25/08/2021
MLM,Martin Marietta Materials,386.09,6.81,1.80%,391.48,379.64,247800,25/08/2021
